City,Start_Lat,Start_Lon,End_Lat,End_Lon,Route_Length_km,Road_Type,Accident_Count,Incident_Severity,Weather_Risk,Crowd_Level,Risk_Score
Dehradun,30.276778,77.986966,30.281576,77.955593,3.059,Rural,3,0,0.096,0.684,0.316
Dehradun,30.36314,78.098254,30.304696,77.972046,13.746,Highway,6,4,0.402,0.531,0.527
Dehradun,30.38584,78.06313,30.265715,77.937165,18.016,City,7,1,0.665,0.592,0.668
Dehradun,30.316691,78.036567,30.296145,78.074161,4.271,Highway,1,0,0.046,0.695,0.203
Dehradun,30.305546,78.01899,30.313688,78.053052,3.393,Hilly,5,3,0.308,0.485,0.439
Dehradun,30.212484,78.086802,30.24068,77.954764,13.068,City,2,1,0.289,0.824,0.352
Dehradun,30.343812,78.01296,30.260728,78.081429,11.338,Hilly,6,4,0.188,0.945,0.546
Dehradun,30.29472,78.001316,30.259523,78.091454,9.499,City,1,1,0.132,0.628,0.215
Dehradun,30.30882,78.03662,30.358653,78.016675,5.862,Rural,4,4,0.308,0.938,0.48
Dehradun,30.377889,78.053049,30.289762,78.096314,10.643,Hilly,3,3,0.198,0.289,0.267
Dehradun,30.309057,78.049351,30.318971,77.981126,6.641,Hilly,0,0,0.049,0.418,0.098
Dehradun,30.33579,77.954467,30.293107,77.996552,6.233,City,5,0,0.152,0.321,0.36
Dehradun,30.330771,78.018286,30.245574,78.060927,10.32,City,5,1,0.175,0.421,0.387
Dehradun,30.371008,78.006295,30.332632,78.004281,4.272,Hilly,5,5,0.086,0.331,0.342
Dehradun,30.308456,78.047681,30.308746,78.047061,0.068,Hilly,0,0,0.597,0.608,0.301
Dehradun,30.291919,78.065228,30.322039,78.028828,4.84,Rural,4,2,0.126,0.629,0.364
Dehradun,30.315719,78.032999,30.292166,78.073236,4.667,Rural,2,1,0.201,0.461,0.252
Dehradun,30.309459,78.01923,30.359263,77.975396,6.955,Highway,4,2,0.331,0.408,0.381
Dehradun,30.332683,78.064909,30.38494,78.106829,7.067,Rural,4,1,0.085,0.347,0.295
Dehradun,30.322066,78.056206,30.333037,78.051401,1.304,City,3,1,0.259,0.543,0.336
Dehradun,30.302351,78.04597,30.403665,77.935947,15.439,Hilly,5,5,0.257,0.65,0.457
Dehradun,30.36224,78.02091,30.301624,78.001654,6.989,Highway,1,0,0.092,0.364,0.15
Dehradun,30.307111,78.029262,30.275572,78.125824,9.912,Hilly,7,6,0.075,0.285,0.43
Dehradun,30.356641,78.003396,30.3247,78.048072,5.567,Hilly,2,0,0.331,0.533,0.306
Dehradun,30.289965,78.050133,30.349652,78.060868,6.716,Rural,0,0,0.179,0.949,0.244
Dehradun,30.291892,78.057868,30.280975,77.975142,8.036,City,8,4,0.405,0.752,0.672
Dehradun,30.334919,78.029757,30.269078,77.997877,7.935,Hilly,3,1,0.309,0.767,0.396
Dehradun,30.279808,78.071738,30.315055,78.023605,6.059,City,4,1,0.084,0.546,0.334
Dehradun,30.362732,78.071057,30.324673,78.023896,6.196,Hilly,2,2,0.201,0.676,0.296
Dehradun,30.292728,78.049171,30.321382,78.039895,3.308,Highway,5,1,0.046,0.572,0.378
Dehradun,30.361175,77.99326,30.389116,77.997684,3.136,Hilly,3,1,0.08,0.634,0.301
Dehradun,30.289395,78.055898,30.261956,78.073407,3.484,Hilly,6,1,0.343,1.0,0.603
Dehradun,30.364451,77.974167,30.29057,78.004008,8.7,Hilly,2,1,0.243,0.783,0.33
Dehradun,30.323072,77.973648,30.316436,78.02956,5.417,City,2,1,0.374,0.38,0.288
Dehradun,30.230956,77.951196,30.31457,77.977335,9.63,Highway,5,2,0.256,0.804,0.488
Dehradun,30.304344,77.957707,30.355994,78.085064,13.505,Highway,5,1,0.265,0.482,0.426
Dehradun,30.297031,78.078804,30.328943,78.01281,7.261,City,0,0,0.096,0.523,0.133
Dehradun,30.34871,78.047823,30.330493,78.014122,3.816,City,5,5,0.357,0.607,0.478
Dehradun,30.360914,78.114564,30.317593,78.049311,7.901,Highway,5,2,0.193,0.862,0.48
Dehradun,30.281201,78.051427,30.270983,78.107227,5.478,Hilly,3,1,0.221,0.839,0.384
Dehradun,30.28861,78.056319,30.352264,78.005753,8.582,Highway,3,2,0.108,0.411,0.265
Dehradun,30.300729,78.052619,30.349009,77.989609,8.087,City,0,0,0.246,0.525,0.179
Dehradun,30.318255,78.035037,30.382572,78.134051,11.892,City,7,0,0.383,0.713,0.607
Dehradun,30.31343,78.050026,30.270017,78.043449,4.868,City,1,1,0.247,0.235,0.171
Dehradun,30.251996,77.996151,30.265007,78.057769,6.092,Highway,2,1,0.54,1.0,0.462
Dehradun,30.246281,78.014439,30.234078,78.061767,4.745,Rural,6,2,0.073,0.795,0.481
Dehradun,30.380849,78.048156,30.319853,78.136908,10.887,Highway,0,0,0.413,0.672,0.258
Dehradun,30.225053,77.983957,30.302623,78.039112,10.122,Rural,5,4,0.404,0.404,0.452
Dehradun,30.267252,78.00686,30.324154,78.022188,6.496,Highway,4,1,0.112,0.6,0.354
Dehradun,30.279705,78.030369,30.296441,78.054004,2.935,Rural,0,0,0.172,0.482,0.148
Dehradun,30.328306,78.032458,30.370207,77.945685,9.541,City,3,2,0.423,0.346,0.346
Dehradun,30.321477,78.035909,30.222844,78.014873,11.152,Hilly,1,0,0.359,0.329,0.223
Dehradun,30.348963,78.00435,30.301587,78.051227,6.928,Rural,1,1,0.581,0.178,0.26
Dehradun,30.343595,78.048932,30.309198,78.055515,3.877,City,9,7,0.456,0.381,0.663
Dehradun,30.293159,78.027328,30.313979,78.050882,3.236,Rural,1,0,0.309,0.245,0.192
Dehradun,30.305655,77.981503,30.344101,78.043694,7.342,Rural,0,0,0.115,0.421,0.119
Dehradun,30.302338,78.017018,30.299767,78.050815,3.257,City,1,0,0.481,0.433,0.281
Dehradun,30.255118,78.09686,30.230027,77.995034,10.172,Hilly,3,2,0.336,0.833,0.417
Dehradun,30.302859,78.028913,30.319457,78.018983,2.077,Rural,4,3,0.252,0.427,0.361
Dehradun,30.267654,78.004841,30.316063,78.025717,5.744,City,0,0,0.222,0.639,0.194
Dehradun,30.297071,77.959142,30.275168,77.952973,2.506,Hilly,6,4,0.431,0.495,0.528
Dehradun,30.270395,78.016157,30.338961,78.03972,7.953,Hilly,5,5,0.213,0.398,0.393
Dehradun,30.336329,78.022537,30.345635,78.024037,1.045,City,2,0,0.166,0.698,0.29
Dehradun,30.323529,78.071312,30.293906,77.986937,8.744,City,0,0,0.262,0.712,0.221
Dehradun,30.313231,78.02855,30.312463,78.062012,3.213,City,3,1,0.653,0.733,0.493
Dehradun,30.33055,77.988321,30.269221,78.007817,7.072,Highway,6,4,0.542,0.713,0.605
Dehradun,30.241369,77.971367,30.331686,77.952286,10.209,Highway,5,5,0.449,0.586,0.502
Dehradun,30.371033,77.988222,30.30311,78.08385,11.886,Highway,6,6,0.19,0.5,0.457
Dehradun,30.330891,78.08384,30.330051,78.04588,3.644,Hilly,5,5,0.477,0.837,0.56
Dehradun,30.324187,78.094368,30.253331,78.003905,11.727,Hilly,5,1,0.215,0.466,0.408
Dehradun,30.293259,78.099236,30.314626,78.058764,4.554,Hilly,3,2,0.592,0.619,0.451
Dehradun,30.316064,78.038149,30.30877,78.060607,2.303,City,3,3,0.37,0.845,0.43
Dehradun,30.251522,77.968013,30.300507,78.079969,12.052,City,3,2,0.204,0.661,0.343
Dehradun,30.32719,78.049338,30.257047,77.990803,9.613,Hilly,1,0,0.189,0.655,0.238
Dehradun,30.306727,78.025889,30.248427,77.984027,7.628,Highway,1,1,0.132,0.671,0.224
Dehradun,30.30641,78.066195,30.278716,78.035538,4.26,Hilly,6,5,0.402,0.593,0.539
Dehradun,30.295428,78.02528,30.397319,78.110539,13.975,Hilly,5,3,0.4,0.569,0.484
Dehradun,30.377957,78.122083,30.318442,78.023701,11.529,Hilly,0,0,0.142,0.424,0.127
Dehradun,30.305302,78.046039,30.328851,78.033001,2.902,Highway,4,0,0.339,0.671,0.436
Dehradun,30.318921,78.013334,30.324444,78.043047,2.917,Hilly,3,1,0.678,1.0,0.553
Dehradun,30.316887,78.033072,30.275107,78.120092,9.559,Highway,3,1,0.333,0.462,0.342
Dehradun,30.349842,78.027041,30.322074,77.9791,5.541,Hilly,4,2,0.561,0.682,0.505
Dehradun,30.29978,78.047216,30.377727,78.054367,8.694,City,6,2,0.544,0.625,0.588
Dehradun,30.308166,78.017859,30.308542,78.061366,4.177,City,8,4,0.281,0.262,0.537
Dehradun,30.340299,78.015681,30.277728,77.989607,7.394,Rural,0,0,0.13,0.612,0.161
Dehradun,30.324347,78.021553,30.321823,78.02231,0.29,Highway,2,0,0.37,0.569,0.325
Dehradun,30.293324,77.995331,30.321346,78.052481,6.309,Hilly,2,0,0.524,0.608,0.379
Dehradun,30.237245,77.958883,30.30619,78.030629,10.307,City,5,3,0.219,0.198,0.355
Dehradun,30.3502,78.043075,30.375734,78.039968,2.855,City,4,4,0.082,0.739,0.372
Dehradun,30.341244,77.950849,30.293045,78.036901,9.846,Hilly,0,0,0.412,0.493,0.222
Dehradun,30.334486,78.066203,30.297332,78.090297,4.735,City,3,1,0.25,0.586,0.342
Dehradun,30.258932,77.998084,30.334543,78.029037,8.917,Rural,1,0,0.199,0.669,0.243
Dehradun,30.338289,78.045912,30.327313,78.013668,3.327,City,0,0,0.549,0.855,0.336
Dehradun,30.298829,78.105605,30.355865,78.066629,7.363,Rural,3,1,0.313,0.321,0.308
Dehradun,30.29064,77.971304,30.320851,78.003165,4.543,Rural,5,4,0.418,0.674,0.51
Dehradun,30.259629,78.110638,30.303096,78.032088,8.958,Rural,6,0,0.242,0.815,0.536
Dehradun,30.325636,78.034908,30.292554,78.054914,4.15,Rural,8,1,0.104,0.698,0.571
Dehradun,30.296591,78.051692,30.312947,78.078296,3.135,Highway,6,4,0.3,0.731,0.536
Dehradun,30.35591,78.048417,30.325842,78.085995,4.918,Highway,3,0,0.231,0.257,0.271
Dehradun,30.294906,78.048027,30.307608,78.036384,1.801,Hilly,1,0,0.244,0.738,0.271
Dehradun,30.336202,78.06823,30.34981,78.008143,5.961,Rural,3,0,0.262,0.621,0.353
Dehradun,30.313817,78.003806,30.290531,78.087172,8.412,City,0,0,0.118,0.914,0.218
Dehradun,30.333812,78.033595,30.292241,77.977042,7.13,Rural,5,3,0.338,0.5,0.451
Dehradun,30.274814,78.132244,30.27456,78.127922,0.416,Highway,2,1,0.348,0.406,0.286
Dehradun,30.331499,78.046458,30.396745,77.979108,9.715,Highway,3,0,0.179,0.302,0.264
Dehradun,30.284832,78.044066,30.33437,78.006241,6.597,Rural,0,0,0.121,0.476,0.132
Dehradun,30.361854,77.976225,30.335629,78.036801,6.503,City,1,0,0.409,0.415,0.256
Dehradun,30.35053,78.088828,30.302744,78.044424,6.812,Rural,1,0,0.155,0.264,0.149
Dehradun,30.367902,78.015759,30.328901,78.078886,7.45,Rural,6,4,0.131,0.558,0.451
Dehradun,30.370041,78.076323,30.356065,78.060111,2.199,Rural,2,0,0.144,0.241,0.191
Dehradun,30.288395,78.131067,30.312866,77.996941,13.161,Rural,0,0,0.256,0.621,0.201
Dehradun,30.28528,78.057524,30.371863,77.980237,12.154,City,4,3,0.474,0.46,0.434
Dehradun,30.366323,78.136251,30.284646,78.039974,12.957,Rural,6,3,0.304,0.901,0.571
Dehradun,30.331659,78.03487,30.357217,77.98782,5.335,Rural,0,0,0.574,0.652,0.303
Dehradun,30.325785,78.011545,30.311251,78.020831,1.846,Rural,0,0,0.23,0.738,0.217
Dehradun,30.392688,78.087769,30.307383,78.064758,9.739,City,0,0,0.346,0.568,0.218
Dehradun,30.346819,78.066917,30.324386,78.114155,5.174,Rural,0,0,0.071,0.878,0.197
Dehradun,30.249925,78.07104,30.375077,78.066748,13.922,Hilly,3,3,0.337,0.451,0.341
Dehradun,30.243366,78.041633,30.288102,77.944751,10.551,Highway,0,0,0.215,0.648,0.194
Dehradun,30.315763,77.967525,30.332418,78.035259,6.76,City,0,0,0.372,0.26,0.164
Dehradun,30.289825,78.087095,30.293503,78.074054,1.317,City,2,0,0.563,0.351,0.339
Dehradun,30.329009,78.114381,30.251879,78.061246,9.979,Highway,2,0,0.172,0.498,0.251
Dehradun,30.231801,77.935845,30.373556,78.095794,22.006,Rural,3,2,0.284,0.372,0.31
Dehradun,30.311549,77.989945,30.295822,78.012299,2.768,Rural,1,0,0.25,0.287,0.183
Dehradun,30.242548,78.036437,30.289668,78.036935,5.24,Highway,0,0,0.331,0.549,0.209
Dehradun,30.330675,78.003136,30.374625,78.099558,10.463,Hilly,1,0,0.649,0.393,0.323
Dehradun,30.292164,78.074175,30.325745,78.044499,4.697,Highway,2,0,0.111,0.217,0.177
Dehradun,30.324784,77.999097,30.257478,78.076248,10.53,City,0,0,0.108,0.809,0.194
Dehradun,30.301622,78.047956,30.340377,77.967514,8.842,Hilly,5,3,0.203,0.315,0.374
Dehradun,30.335394,78.026519,30.275108,78.056016,7.277,Rural,0,0,0.111,0.565,0.146
Dehradun,30.289738,78.042295,30.301458,78.046982,1.379,Highway,7,6,0.463,0.667,0.622
Dehradun,30.270571,78.055958,30.279043,78.043982,1.487,City,0,0,0.042,0.365,0.086
Dehradun,30.286415,77.962594,30.300666,77.973656,1.908,Rural,2,0,0.12,0.39,0.214
Dehradun,30.302652,78.038304,30.270083,78.102702,7.166,Highway,3,1,0.377,0.357,0.334
Dehradun,30.325571,77.961845,30.376734,78.106459,14.997,Highway,1,0,0.268,0.599,0.25
Dehradun,30.341072,78.062599,30.291063,77.925196,14.314,City,1,0,0.256,0.56,0.239
Dehradun,30.307333,78.011086,30.300828,78.021649,1.246,Hilly,2,0,0.234,0.516,0.274
Dehradun,30.298486,78.040318,30.342312,78.056864,5.126,City,1,0,0.451,0.346,0.255
Dehradun,30.332284,78.007381,30.32701,77.966075,4.008,Hilly,0,0,0.157,0.39,0.125
Dehradun,30.350262,78.095899,30.299297,78.046893,7.365,City,5,5,0.089,0.502,0.377
Dehradun,30.360373,78.028343,30.28339,77.959507,10.813,Hilly,0,0,0.124,0.362,0.11
Dehradun,30.351156,77.945633,30.343652,77.987371,4.091,Rural,1,1,0.339,0.823,0.316
Dehradun,30.366765,78.105862,30.232986,77.950279,21.081,Hilly,2,0,0.086,0.917,0.309
Dehradun,30.30049,77.957589,30.25899,77.984664,5.297,City,5,0,0.298,0.302,0.4
Dehradun,30.359794,78.024108,30.318239,78.017686,4.662,Rural,6,5,0.262,0.728,0.524
Dehradun,30.300914,78.082852,30.32491,78.030123,5.722,Highway,2,0,0.15,0.412,0.228
Dehradun,30.284661,78.064335,30.379197,77.934277,16.319,Hilly,7,2,0.074,0.991,0.57
Dehradun,30.247019,77.95374,30.214002,78.10198,14.708,Hilly,3,0,0.313,0.722,0.388
Dehradun,30.329732,78.063959,30.306997,78.014951,5.34,Hilly,3,1,0.097,0.332,0.245
Dehradun,30.31102,78.060234,30.321504,78.061578,1.173,Highway,4,2,0.057,1.0,0.417
Dehradun,30.288847,78.074076,30.250325,77.990251,9.119,Highway,4,1,0.424,0.598,0.447
Dehradun,30.312274,78.086241,30.404244,78.024371,11.825,Hilly,0,0,0.136,0.369,0.115
Dehradun,30.321357,78.013063,30.312498,78.017269,1.065,City,2,0,0.318,0.768,0.349
Dehradun,30.378738,78.012336,30.312547,78.024058,7.446,Rural,3,1,0.375,0.276,0.318
Dehradun,30.224601,78.019304,30.287252,78.011933,7.002,Hilly,3,3,0.191,0.663,0.34
Dehradun,30.322385,78.012888,30.31444,78.025876,1.528,Rural,7,8,0.081,0.626,0.499
Dehradun,30.312927,78.054935,30.277371,77.959908,9.943,Rural,3,2,0.211,0.648,0.343
Dehradun,30.356795,78.053202,30.336782,77.940798,11.013,Highway,2,0,0.535,0.459,0.352
Dehradun,30.294392,78.04038,30.245252,78.025331,5.652,City,4,1,0.322,0.382,0.373
Dehradun,30.336338,78.013252,30.326489,78.003328,1.451,Highway,2,0,0.193,0.716,0.301
Dehradun,30.325417,78.089971,30.32282,78.019795,6.742,Hilly,3,2,0.092,0.366,0.251
Dehradun,30.301395,77.974158,30.373433,78.021395,9.204,City,3,0,0.149,0.924,0.379
Dehradun,30.300079,78.007483,30.316611,77.99312,2.298,City,3,2,0.04,0.967,0.355
Dehradun,30.320423,78.034037,30.352762,77.996808,5.069,City,0,0,0.078,0.426,0.109
Dehradun,30.301919,78.008793,30.307564,78.009474,0.631,Rural,0,0,0.403,0.721,0.265
Dehradun,30.378086,78.000989,30.320131,78.03443,7.199,City,0,0,0.387,0.377,0.191
Dehradun,30.386958,78.028355,30.356706,78.05857,4.44,Hilly,3,1,0.021,0.273,0.211
Dehradun,30.327793,78.014954,30.30702,78.021847,2.403,Hilly,2,1,0.413,0.959,0.416
Dehradun,30.354257,77.981293,30.317922,78.020823,5.542,Hilly,2,2,0.482,0.959,0.436
Dehradun,30.356741,78.080808,30.302958,78.043744,6.958,Hilly,1,0,0.368,0.446,0.25
Haridwar,29.940983,78.177355,29.929737,78.222609,4.536,Hilly,2,1,0.227,0.413,0.251
Haridwar,29.859448,78.104796,29.964939,78.171804,13.391,Hilly,0,0,0.217,0.531,0.171
Haridwar,30.008562,78.208631,29.926891,78.231938,9.355,Hilly,8,5,0.286,0.47,0.58
Haridwar,29.973468,78.152135,29.95041,78.239282,8.778,Rural,0,0,0.179,0.325,0.119
Haridwar,29.951025,78.164294,29.931693,78.144756,2.857,Rural,4,2,0.233,0.622,0.394
Haridwar,29.937079,78.18449,29.936998,78.138117,4.468,Highway,2,1,0.259,0.486,0.275
Haridwar,29.923764,78.172697,29.952761,78.169395,3.24,Rural,0,0,0.533,0.474,0.255
Haridwar,29.902645,78.25719,29.940979,78.172141,9.239,City,8,6,0.381,0.755,0.665
Haridwar,29.986054,78.181043,29.948071,78.17053,4.343,Hilly,0,0,0.245,0.319,0.137
Haridwar,29.999503,78.060252,29.937028,78.175654,13.109,Hilly,3,0,0.392,0.506,0.369
Haridwar,29.92096,78.171597,29.901475,78.136355,4.029,City,5,5,0.13,0.307,0.35
Haridwar,29.923895,78.118203,29.890792,78.146722,4.594,Hilly,2,0,0.452,0.405,0.317
Haridwar,29.875831,78.257673,30.002506,78.096442,20.971,Hilly,0,0,0.085,0.326,0.091
Haridwar,30.002558,78.137495,29.930811,78.132348,7.993,Highway,3,2,0.212,0.332,0.28
Haridwar,30.013609,78.193642,29.888212,78.183361,13.979,Rural,2,2,0.452,0.681,0.372
Haridwar,29.948459,78.148601,29.981172,78.165244,3.975,City,7,3,0.19,0.659,0.539
Haridwar,29.961528,78.129659,29.929418,78.146863,3.936,City,0,0,0.575,0.437,0.26
Haridwar,29.985586,78.231201,29.958014,78.153407,8.096,Rural,2,1,0.373,0.898,0.391
Haridwar,29.962747,78.186618,29.953709,78.164009,2.399,Rural,3,1,0.177,0.771,0.357
Haridwar,29.963621,78.109044,29.906448,78.096584,6.47,Rural,5,0,0.229,0.651,0.449
Haridwar,29.904305,78.174605,29.965916,78.199192,7.249,City,2,1,0.023,0.463,0.2
Haridwar,29.881385,78.175646,29.923068,78.192704,4.918,Highway,1,0,0.531,0.56,0.321
Haridwar,29.935433,78.155514,29.958952,78.146823,2.746,City,3,3,0.097,0.537,0.286
Haridwar,29.979129,78.167389,29.945621,78.175124,3.8,City,4,1,0.551,0.664,0.498
Haridwar,29.921002,78.140451,29.952106,78.161971,4.033,Hilly,8,8,0.182,0.54,0.562
Haridwar,29.936939,78.153001,29.990775,78.161953,6.048,City,3,1,0.115,0.972,0.379
Haridwar,29.904023,78.254532,29.933751,78.165701,9.177,Highway,3,0,0.046,0.814,0.327
Haridwar,29.974314,78.192456,29.966567,78.150026,4.177,Highway,4,1,0.017,0.352,0.276
Haridwar,29.9617,78.181266,29.916618,78.125546,7.345,Hilly,3,3,0.182,0.637,0.332
Haridwar,29.91576,78.189161,29.985693,78.210779,8.05,City,4,2,0.296,0.702,0.429
Haridwar,29.928625,78.132186,29.944334,78.167587,3.832,City,5,5,0.412,0.402,0.454
Haridwar,29.936451,78.107326,30.027433,78.264633,18.218,Hilly,6,3,0.202,0.596,0.48
Haridwar,30.02058,78.159385,29.918763,78.206997,12.215,Hilly,6,3,0.167,0.776,0.505
Haridwar,29.91532,78.090993,29.900313,78.155634,6.45,Rural,9,4,0.537,0.943,0.8
Haridwar,29.936742,78.202455,29.920312,78.198184,1.873,Highway,4,2,0.292,0.404,0.368
Haridwar,29.974237,78.124667,29.956876,78.155772,3.564,Rural,4,1,0.286,0.278,0.341
Haridwar,29.949701,78.193202,29.962182,78.202888,1.672,Rural,4,2,0.186,0.212,0.298
Haridwar,29.893595,78.261803,29.907541,78.113219,14.406,Rural,0,0,0.237,0.631,0.197
Haridwar,29.976939,78.158238,29.88358,78.158641,10.381,Highway,8,2,0.061,0.596,0.537
Haridwar,29.935496,78.124314,29.955856,78.14475,3.0,Rural,4,2,0.485,0.902,0.526
Haridwar,29.995993,78.138844,29.885319,78.223772,14.779,Highway,2,1,0.294,0.412,0.27
Haridwar,29.949352,78.217808,29.913334,78.173315,5.867,Hilly,3,2,0.142,0.947,0.382
Haridwar,29.920471,78.16603,29.961375,78.1555,4.66,City,3,0,0.32,0.435,0.333
Haridwar,29.954507,78.171257,29.974742,78.154287,2.781,Highway,1,0,0.102,0.731,0.227
Haridwar,29.954257,78.157268,29.945569,78.174249,1.9,City,0,0,0.25,0.389,0.153
Haridwar,29.870439,78.259051,29.952516,78.198798,10.818,Rural,5,3,0.216,1.0,0.515
Haridwar,29.935676,78.175159,29.946517,78.170043,1.302,Hilly,8,7,0.362,0.644,0.638
Haridwar,29.941207,78.16133,29.987228,78.160015,5.119,City,0,0,0.363,0.37,0.183
Haridwar,29.93875,78.176189,29.929654,78.166626,1.368,Rural,8,7,0.281,0.795,0.643
Haridwar,29.917625,78.18096,29.959469,78.154885,5.288,Highway,4,3,0.537,0.6,0.481
Haridwar,29.847141,78.076367,29.905427,78.194465,13.102,Highway,1,0,0.129,0.209,0.13
Haridwar,29.996444,78.252585,29.864776,78.152434,17.536,Hilly,0,0,0.077,0.396,0.102
Haridwar,29.916216,78.212928,30.012176,78.186668,10.966,Highway,7,4,0.174,0.514,0.505
Haridwar,29.894236,78.10022,29.985179,78.205475,14.322,Highway,2,1,0.116,0.658,0.266
Haridwar,29.942988,78.174756,29.975907,78.1444,4.685,Highway,6,6,0.493,0.385,0.525
Haridwar,29.930503,78.194264,29.973022,78.12507,8.173,Highway,0,0,0.312,0.553,0.204
Haridwar,29.939395,78.156598,29.95654,78.159723,1.93,Hilly,1,0,0.121,0.451,0.176
Haridwar,30.004376,78.174836,29.970929,78.133202,5.469,City,0,0,0.181,0.261,0.106
Haridwar,29.959907,78.167425,29.944798,78.162808,1.738,Rural,1,0,0.169,0.262,0.153
Haridwar,29.939686,78.169331,29.96929,78.18586,3.657,Hilly,5,0,0.701,0.329,0.526
Haridwar,29.955686,78.142962,29.926604,78.150688,3.318,City,0,0,0.209,0.59,0.181
Haridwar,29.953383,78.140273,29.890195,78.084067,8.872,Highway,0,0,0.571,0.862,0.344
Haridwar,30.009769,78.129137,29.961573,78.184906,7.588,City,1,0,0.403,0.807,0.332
Haridwar,29.91023,78.19794,29.991206,78.169335,9.416,Highway,3,1,0.198,0.374,0.284
Haridwar,29.924166,78.13724,30.009938,78.265424,15.602,Highway,2,0,0.185,0.467,0.249
Haridwar,29.923261,78.12183,29.948813,78.122834,2.843,Hilly,5,0,0.318,0.507,0.447
Haridwar,29.923636,78.151605,29.903529,78.223774,7.306,City,0,0,0.355,0.381,0.183
Haridwar,29.970268,78.1049,29.893146,78.246939,16.152,Highway,1,0,0.124,0.418,0.171
Haridwar,29.927527,78.277605,30.002402,78.230192,9.496,City,7,1,0.428,0.825,0.644
Haridwar,29.984143,78.246897,30.002332,78.203463,4.646,Rural,6,4,0.234,0.874,0.545
Haridwar,29.899497,78.220098,29.916393,78.140357,7.912,Hilly,3,2,0.206,0.207,0.253
Haridwar,29.933192,78.203988,29.883228,78.138419,8.415,Hilly,1,0,0.154,0.378,0.172
Haridwar,29.979783,78.23484,29.995106,78.177239,5.803,Rural,6,3,0.136,0.668,0.474
Haridwar,29.954266,78.203843,30.00485,78.102423,11.272,Hilly,2,1,0.202,0.806,0.322
Haridwar,29.956987,78.141345,29.976883,78.217847,7.694,Highway,4,1,0.644,0.462,0.486
Haridwar,29.987308,78.097468,29.984638,78.116285,1.836,Hilly,3,1,0.651,0.463,0.438
Haridwar,30.02112,78.135528,29.933694,78.150792,9.832,City,2,1,0.139,0.235,0.189
Haridwar,29.963147,78.20629,29.905664,78.206707,6.392,Hilly,2,0,0.541,0.508,0.364
